,Time,,Precision,,Misclassification error,,,,
,regular,compressed,regular,compressed,regular,compressed,T-linkage,RCMSA,RPA
biscuit,2.18,1.23,0.774,0.991,22.60,0.90,16.93,14,1.15
biscuitbook,3.09,1.31,0.965,0.988,3.50,1.20,3.23,8.41,3.23
biscuitbookbox,2.34,0.99,0.961,0.981,3.90,1.90,3.1,16.92,3.88
boardgame,1.76,0.56,0.846,0.85,15.40,15.00,21.43,19.8,11.65
book,4.09,1.09,0.962,0.978,3.80,2.20,3.24,4.32,2.88
breadcartoychips,0.39,0.29,0.723,0.714,27.70,28.60,14.29,25.69,7.5
breadcube,4.13,1.42,0.974,0.991,2.60,0.90,19.31,9.87,4.58
breadcubechips,1.2,0.89,0.843,0.852,15.70,14.80,3.48,8.12,5.07
breadtoy,5.75,1.55,0.986,0.978,1.40,2.20,5.4,3.96,2.76
breadtoycar,0.16,0.17,0.75,0.75,25.00,25.00,9.15,18.29,7.52
carchipscube,1.1,0.46,0.872,0.872,12.80,12.80,4.27,18.9,6.5
cube,1.12,0.63,0.976,0.875,2.40,12.50,7.8,8.14,3.28
cubebreadtoychips,1.56,1.02,0.863,0.857,13.70,14.30,9.24,13.27,4.99
cubechips,1.11,0.57,0.971,0.964,2.90,3.60,6.14,7.7,4.57
cubetoy,2.11,0.87,0.962,0.954,3.80,4.60,3.77,5.86,4.04
dinobooks,2.75,0.96,0.764,0.817,23.60,18.30,20.94,23.5,15.14
game,0.32,0.26,0.996,0.991,0.40,0.90,1.3,5.07,3.62
gamebiscuit,2.09,0.87,0.901,0.957,9.90,4.30,9.26,9.37,2.57
toycubecar,1.03,0.67,0.919,0.919,8.10,8.10,15.66,13.81,9.43
Mean,2.01,0.83,0.895,0.909,10.48,9.06,9.37,12.37,5.49
STD,1.45,0.39,0.090,0.086,8.97,8.57,6.66,6.58,3.48
Median,1.76,0.87,0.919,0.954,8.10,4.60,7.80,9.87,4.57
