,Time,,Precision,,Misclassification error,,,,
,regular,compressed,regular,compressed,regular,compressed,T-linkage,RCMSA,RPA
barrsmith,2.89,1.97,0.962,0.902,3.80,9.80,49.79,20.14,36.31
bonhall,75.04,12.25,0.703,0.742,29.70,25.80,21.84,19.69,41.67
bonython,2.30,1.40,0.984,0.974,1.60,2.60,11.92,17.79,15.89
elderhalla,3.56,3.14,0.93,0.93,7.00,7.00,10.75,29.28,0.93
elderhallb,6.75,4.88,0.861,0.845,13.90,15.50,31.02,35.78,17.82
hartley,6.66,3.65,0.981,0.956,1.90,4.40,21.9,37.78,17.78
johnsona,21.71,11.35,0.861,0.779,13.90,22.10,34.28,36.73,10.76
johnsonb,76.13,15.46,0.8,0.853,20.00,14.70,24.04,16.46,26.76
ladysymon,9.00,6.82,0.956,0.978,4.40,2.20,24.67,39.5,24.67
library,4.40,3.43,0.981,0.972,1.90,2.80,24.53,40.72,31.29
napiera,4.39,2.98,0.887,0.938,11.30,6.20,28.08,31.16,9.25
napierb,6.94,5.03,0.81,0.81,19.00,19.00,13.5,29.4,31.22
neem,9.80,5.39,0.952,0.791,4.80,20.90,25.65,41.45,19.86
nese,12.58,6.86,0.988,0.975,1.20,2.50,7.05,46.34,0.83
oldclassicswing,14.82,5.13,0.986,0.917,1.40,8.30,20.66,21.3,25.25
physics,2.52,2.01,0.709,0.738,29.10,26.20,29.13,48.87,0
sene,8.86,3.50,0.996,0.992,0.40,0.80,7.63,20.2,0.42
unihouse,214.23,11.96,0.943,0.942,5.70,5.80,33.13,2.56,5.21
unionhouse,1.20,0.86,0.991,0.988,0.90,1.20,48.99,2.64,10.87
Mean,25.46,5.69,0.910,0.896,9.05,10.41,24.66,28.30,17.20
STD,50.73,4.16,0.094,0.087,9.43,8.72,11.96,13.45,12.87
Median,6.94,4.88,0.952,0.930,4.80,7.00,24.53,29.40,17.78
